 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0001-0001-0716:1,0.41,126.186,0,255,49.485,1,0.2028885,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0002-0001-0715:2,0.427,138.861,0,255,54.455,2,0.23252285,,
3,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0003-0001-0716:3,0.431,142.5,0,255,55.882,3,0.24085142,,
4,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0004-0001-0716:4,0.427,148.96,0,255,58.416,4,0.24943632,,
5,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0005-0001-0716:5,0.435,141.117,0,255,55.34,5,0.240729,,
6,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0006-0001-0716:6,0.444,133.571,0,255,52.381,6,0.23257164,,
7,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0007-0001-0717:7,0.431,150,0,255,58.824,7,0.25353144,,
8,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0008-0001-0716:8,0.439,127.5,0,255,50,8,0.2195,,
9,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0009-0001-0716:9,0.422,147.9,0,255,58,9,0.24476,,
10,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0010-0001-0716:10,0.389,157.989,0,255,61.957,10,0.24101273,,
11,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0011-0001-0716:11,0.384,137.308,0,255,53.846,11,0.20676864,,
12,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0012-0001-0716:12,0.435,141.117,0,255,55.34,12,0.240729,,
13,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0013-0001-0717:13,0.418,159.697,0,255,62.626,13,0.26177668,,
14,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0014-0001-0717:14,0.397,151.915,0,255,59.574,14,0.23650878,,
15,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0015-0001-0716:15,0.435,143.592,0,255,56.311,15,0.24495285,,
16,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0016-0001-0716:16,0.431,162.5,0,255,63.725,16,0.27465475,,
17,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0017-0001-0716:17,0.452,123.925,0,255,48.598,17,0.21966296,,
18,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0018-0001-0716:18,0.422,96.9,0,255,38,18,0.16036,,
19,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0019-0001-0716:19,0.414,96.276,0,255,37.755,19,0.1563057,,
20,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0020-0001-0716:20,0.414,78.061,0,255,30.612,20,0.12673368,,
21,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0021-0001-0715:21,0.452,78.645,0,255,30.841,21,0.13940132,,
22,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0022-0001-0716:22,0.422,86.7,0,255,34,22,0.14348,,
23,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0023-0001-0715:23,0.393,87.742,0,255,34.409,23,0.13522737,,
24,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0024-0001-0716:24,0.427,98.465,0,255,38.614,24,0.16488178,,
25,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_013_Simple Segmentation.tif:0025-0001-0715:25,0.397,103.085,0,255,40.426,25,0.16049122,,
