Time Step,Label Index,Name,N-sides-with-radial-keratin-filaments,Voxel count,Volume (nm³),Min Intensity (Distance_endo-A),Min Intensity (Distance_endo-B),Min Intensity (Distance_KRT-B),Min Intensity (Distance_KRT-A),Min Intensity (Distance_ER-A),Min Intensity (Distance_ER-B)
0,1,DSM2_tileWG_01,0,725,371200,1.22E-06,2.05E-07,1.21E-07,4.38E-07,2.43E-07,3.39E-08
0,2,DSM2_tileWG_02,0,584,299008,6.26E-07,2.40E-07,2.89E-07,4.78E-07,9.40E-07,1.09E-07
0,3,DSM2_tileWG_03,0,1698,869376,3.16E-07,4.80E-08,2.99E-08,3.58E-08,1.05E-06,2.88E-08
0,4,DSM2_tileWG_04,0,710,363520,6.40E-07,7.76E-08,2.91E-07,7.43E-07,9.63E-08,5.88E-07
0,5,DSM2_tileWG_05,0,820,419840,2.35E-07,1.32E-07,1.13E-08,3.75E-08,2.32E-07,1.06E-07
0,6,DSM2_tileWG_06,0,879,450048,3.86E-07,3.39E-07,2.67E-07,4.19E-07,5.54E-07,1.22E-07
0,7,DSM2_tileWG_07,0,1192,610304,3.67E-07,2.27E-07,4.45E-07,1.13E-06,1.79E-08,3.41E-07
0,8,DSM2_tileWG_08,0,2969,1520128,5.62E-07,1.38E-07,2.88E-08,1.79E-08,3.02E-07,1.19E-07
0,9,DSM2_tileWG_09,2,3307,1693184,3.50E-07,3.07E-07,8.00E-09,2.77E-08,3.57E-07,8.39E-08
0,10,DSM2_tileWG_10,0,3292,1685504,3.31E-07,2.45E-07,1.71E-06,1.83E-06,5.36E-07,5.60E-08
0,11,DSM2_tileWG_11,0,3434,1758208,5.90E-07,7.16E-08,4.47E-07,4.70E-07,9.26E-08,6.00E-07
0,12,DSM2_tileWG_12,0,3493,1788416,7.05E-07,1.89E-07,5.64E-07,7.96E-07,1.00E-06,3.85E-07
0,13,DSM2_tileWG_13,2,11067,5666304,1.61E-06,1.14E-07,8.00E-09,8.00E-09,2.29E-07,1.07E-07
0,14,DSM2_tileWG_14,2,4133,2116096,5.74E-07,1.40E-07,8.47E-07,1.14E-06,1.37E-07,1.82E-07
0,15,DSM2_tileWG_15,1,4280,2191360,1.94E-07,4.41E-07,6.14E-08,3.30E-08,8.24E-08,2.19E-07
0,16,DSM2_tileWG_16,0,7076,3622912,1.79E-07,1.37E-07,8.81E-07,1.18E-06,6.57E-07,5.02E-07
0,17,DSM2_tileWG_17,2,8096,4145152,9.18E-07,4.67E-07,8.00E-09,8.00E-09,1.04E-07,4.41E-07
0,18,DSM2_tileWG_18,2,8148,4171776,9.88E-07,2.21E-07,8.00E-09,8.00E-09,2.04E-07,1.96E-08
0,19,DSM2_tileWG_19,2,8538,4371456,7.47E-07,1.16E-07,1.60E-08,8.00E-09,7.29E-08,7.42E-08
0,20,DSM2_tileWG_20,2,9532,4880384,3.84E-07,2.77E-08,8.00E-09,8.00E-09,8.00E-09,1.48E-07
0,21,DSM2_tileWG_21,2,13567,6946304,6.25E-08,3.60E-07,3.75E-08,8.00E-09,1.88E-07,8.04E-08
0,22,DSM2_tileWG_22,2,13602,6964224,2.10E-07,1.48E-07,8.00E-09,8.00E-09,1.25E-07,1.02E-07
0,23,DSM2_tileWG_23,2,13931,7132672,6.14E-08,1.48E-07,1.96E-08,2.77E-08,8.00E-09,1.39E-08
0,24,DSM2_tileWG_24,2,19988,10233856,2.17E-07,5.72E-07,1.13E-08,8.00E-09,1.46E-07,8.00E-09
0,25,DSM2_tileWG_25,2,23795,12183040,3.87E-07,4.36E-07,8.00E-09,8.00E-09,2.53E-08,4.08E-08
0,26,DSM2_tileWG_26,2,31492,16123904,2.49E-07,1.60E-08,8.00E-09,8.00E-09,4.16E-08,8.00E-09
0,27,DSM2_tileWG_27,2,73601,37683712,3.02E-07,6.50E-08,8.00E-09,8.00E-09,6.97E-08,8.00E-09
